"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 0.5 50 140 295 2.67999497045792 0.542115561813002 FALSE ""
3 1 100 104 296 3.25999500767531 1.37244886167509 FALSE ""
3 1.5 100 99 297 3.09999498937683 1.39534921836492 FALSE ""
7 1 700 1 298 6.88856641871922 2.13659897988797 FALSE ""
3 0.5 300 10 299 2.95666165022549 0.533514666620775 FALSE ""
7 1 600 27 300 7.01832834160254 1.6835346457136 FALSE ""
7 1 300 86 301 6.87332834270925 0.872642380849618 FALSE ""
7 1.5 1000 58 302 7.19299500113677 0.976302801548047 FALSE ""
7 1 800 62 303 7.13499500304209 0.970981772359315 FALSE ""
7 1.5 800 138 304 7.15124500062994 1.51172322334256 FALSE ""
3 1.5 200 51 305 2.65499500112243 2.0024556455856 FALSE ""
3 1.5 400 14 306 2.97499500790325 1.28288253751657 FALSE ""
7 1 800 192 307 7.04999478540198 1.00900011092744 FALSE ""
7 0.5 300 118 308 7.10332836576531 0.575857601913199 FALSE ""
7 0.5 600 193 309 7.076661672556 0.564203357394355 FALSE ""
7 1.5 800 105 310 7.00624500491457 0.847584308513127 FALSE ""
7 1 600 169 311 6.94332834009063 1.15050531483293 FALSE ""
3 0.5 100 195 312 3.1299949749638 0.507967279534307 FALSE ""
3 1 1000 22 313 2.92899501599623 0.923851314188675 FALSE ""
7 1.5 100 53 314 6.83999508322689 9.0825611626352e-10 FALSE ""
3 1.5 900 185 315 3.028883894231 1.44429097272134 FALSE ""
3 1 800 95 316 3.01124499579507 0.718725916512189 FALSE ""
7 1.5 50 137 317 5.93999501950611 0.819084643331161 FALSE ""
3 1 300 41 318 2.9266616636984 1.24700916572822 FALSE ""
7 0.5 100 185 319 6.85999502172332 0.676422616757213 FALSE ""
7 1.5 1000 3 320 7.11499501473621 1.07973103105194 FALSE ""
7 1.5 600 122 321 7.00332833079243 1.28516309260486 FALSE ""
3 0.5 400 43 322 3.07749502049502 0.623761143518915 FALSE ""
7 1 1000 132 323 7.00299499065706 1.0038328380858 FALSE ""
7 1 900 181 324 6.91332834030502 1.21941392156162 FALSE ""
3 1.5 800 161 325 2.92999499647106 1.47849294192942 FALSE ""
3 1.5 400 113 326 3.08249498827175 1.42974100309249 FALSE ""
3 1 500 172 327 3.04599499919165 0.862853910975657 FALSE ""
7 1 200 41 328 6.09999499564375 2.17545248257775e-16 FALSE ""
7 1 300 167 329 7.00332834006553 1.44230982321374 FALSE ""
7 0.5 1000 95 330 6.90299502073495 0.222780876734837 FALSE ""
7 1 900 35 331 7.0744394441467 0.922081394044152 FALSE ""
7 0.5 800 17 332 7.07124503309906 0.331470758435131 FALSE ""
7 1.5 200 68 333 6.98499500466216 0.704218650387185 FALSE ""
3 1.5 50 26 334 2.69999504905722 2.65136059295221 FALSE ""
7 1.5 700 10 335 6.89285217033473 1.70335506758014 FALSE ""
3 0.5 500 178 336 2.95399496129006 0.370034652150742 FALSE ""
3 1 100 93 337 3.23999499652745 0.522900297776522 FALSE ""
3 1.5 900 35 338 2.9722172359154 1.57681808246329 FALSE ""
3 1.5 100 179 339 3.4699949648995 2.60693994523615 FALSE ""
7 1 200 83 340 7.05499500027552 0.798155158902372 FALSE ""
7 0.5 800 11 341 7.04499500044894 1.05570084150968 FALSE ""
7 1 1000 17 342 7.00799500806614 1.32415316383691 FALSE ""
3 1 1000 45 343 2.93899499929936 0.883777657519735 FALSE ""
3 1.5 500 120 344 3.00599499811754 1.15717412105021 FALSE ""
3 1.5 50 141 345 3.17999541043346 0.765373816019482 FALSE ""
7 1.5 400 197 346 6.97999500557263 1.3670057259257 FALSE ""
3 1 300 39 347 2.8933283288083 1.24641877433675 FALSE ""
7 1 1000 186 348 7.19299500182422 0.751243510794268 FALSE ""
3 1.5 1000 10 349 3.00299502299476 1.43795024618077 FALSE ""
3 1.5 600 38 350 2.94332832495526 1.34438253927889 FALSE ""
7 0.5 200 134 351 7.23999498383278 0.219657424578103 FALSE ""
7 0.5 1000 97 352 6.82699499550604 0.368810819216981 FALSE ""
3 0.5 300 42 353 2.8999950202163 0.336370214916498 FALSE ""
7 0.5 900 36 354 6.8777727903418 0.346332903642234 FALSE ""
7 0.5 300 144 355 7.05332832991443 0.0114436671168166 FALSE ""
7 1 800 64 356 7.0374949998826 1.41987789092702 FALSE ""
3 1 400 40 357 3.06749500073357 1.43926856868517 FALSE ""
3 0.5 700 44 358 3.04570927767175 0.320362614814349 FALSE ""
3 1 100 87 359 2.989994938426 2.10474472878903 FALSE ""
7 0.5 900 181 360 7.0588838920058 0.221917902773094 FALSE ""
7 1.5 600 114 361 6.96332833475561 0.813192019497193 FALSE ""
3 0.5 400 131 362 3.07249503704275 0.421788131242186 FALSE ""
3 1 1000 63 363 3.02299500240194 0.933786008130499 FALSE ""
3 0.5 800 43 364 2.96499496269048 0.328513980569234 FALSE ""
3 0.5 700 87 365 2.97285213860462 0.502038411006467 FALSE ""
3 1.5 400 153 366 2.97249499891758 1.28313832009579 FALSE ""
7 0.5 100 69 367 7.12999499853834 1.25118740308662 FALSE ""
3 1.5 300 159 368 3.13332832964268 1.41254850933801 FALSE ""
7 1 500 185 369 7.01399500272283 1.04091256689067 FALSE ""
7 0.5 500 173 370 7.0979949982598 0.284730756609909 FALSE ""
3 1.5 500 35 371 3.07599499806833 1.16654686033306 FALSE ""
3 1.5 300 32 372 2.97999499909275 1.16946090930088 FALSE ""
3 1 900 144 373 2.95110611028705 0.903932376652656 FALSE ""
7 1 300 9 374 6.83999500029561 1.12069331377896 FALSE ""
7 1 1000 89 375 6.99999500810293 0.69361031964177 FALSE ""
7 0.5 500 6 376 6.91799499555009 0.551090919065662 FALSE ""
3 0.5 700 107 377 3.06856642894561 0.439054830870019 FALSE ""
7 1.5 900 187 378 7.03666166725872 0.915529612024554 FALSE ""
7 1.5 500 108 379 7.2279950043838 1.43374985260327 FALSE ""
3 1.5 50 164 380 2.97999508443039 1.38609018003932 FALSE ""
3 0.5 500 164 381 2.96599503713563 0.646535952618373 FALSE ""
3 0.5 200 55 382 3.02999497749852 0.501638140071293 FALSE ""
3 1.5 800 151 383 2.96999499489238 1.63209675499611 FALSE ""
3 1.5 500 1 384 3.06399499076158 1.52874876778025 FALSE ""
3 1.5 200 164 385 3.15499501120053 1.29338341063568 FALSE ""
7 1.5 1000 23 386 6.94399498737437 1.9699043589694 FALSE ""
7 0.5 700 132 387 7.11856645300368 0.52792541976379 FALSE ""
3 1 700 40 388 3.05856642841283 1.03392715314355 FALSE ""
3 0.5 1000 159 389 3.14199498069295 0.48446812017062 FALSE ""
3 0.5 800 154 390 3.02874500486636 0.556594665130175 FALSE ""
7 1.5 800 74 391 6.8799950062897 1.08020873295176 FALSE ""
7 1 1000 94 392 7.05899499845014 1.14368777612058 FALSE ""
7 1.5 600 193 393 7.05332836375484 1.70850956533627 FALSE ""
7 1.5 200 52 394 6.4149950195638 0.943744841920861 FALSE ""
7 1 200 100 395 6.79499500903062 0.0925606909567215 FALSE ""
7 1 100 92 396 6.68999500232106 0.965393149648218 FALSE ""
3 1 1000 107 397 2.96599500091297 1.36502125817674 FALSE ""
3 1.5 600 88 398 3.06332834377085 1.2293489672019 FALSE ""
3 0.5 200 99 399 2.94499500215283 0.725376983813452 FALSE ""
